"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2014- 05- 26","9,860","10,650","10,900","9,800","2.76M","-6.98%"
"2014- 05- 27","9,110","9,600","9,720","8,900","4.33M","-7.61%"
"2014- 05- 28","10,200","9,080","10,450","8,950","5.00M","11.96%"
"2014- 05- 29","9,830","10,000","10,350","9,630","2.66M","-3.63%"
"2014- 05- 30","9,830","9,850","10,850","9,400","4.10M","0.00%"
"2014- 06- 02","9,040","9,720","10,000","8,960","1.53M","-8.04%"
"2014- 06- 03","8,900","9,150","9,350","8,830","1.35M","-1.55%"
"2014- 06- 05","9,650","9,230","10,200","9,170","2.70M","8.43%"
"2014- 06- 09","10,400","9,780","10,500","9,520","1.87M","7.77%"
"2014- 06- 10","10,250","10,300","10,500","9,700","1.77M","-1.44%"
"2014- 06- 11","10,350","10,050","10,450","9,910","1.24M","0.98%"
"2014- 06- 12","10,000","10,250","10,350","9,820","1.45M","-3.38%"
"2014- 06- 13","9,300","9,860","9,930","9,160","1.37M","-7.00%"
"2014- 06- 16","9,370","9,300","9,750","9,190","849.83K","0.75%"
"2014- 06- 17","9,550","9,450","10,100","9,330","1.68M","1.92%"
"2014- 06- 18","8,120","9,550","9,600","8,120","2.18M","-14.97%"
"2014- 06- 19","6,910","7,320","7,520","6,910","8.50M","-14.90%"
"2014- 06- 20","6,790","7,090","7,230","6,600","4.44M","-1.74%"
"2014- 06- 23","6,010","6,870","6,930","5,860","5.12M","-11.49%"
"2014- 06- 24","6,400","6,080","6,580","6,010","4.36M","6.49%"
"2014- 06- 25","6,550","6,270","7,090","6,080","4.31M","2.34%"
"2014- 06- 26","6,550","6,550","6,860","6,480","1.92M","0.00%"
"2014- 06- 27","6,560","6,590","6,900","6,420","1.74M","0.15%"
"2014- 06- 30","6,670","6,590","6,780","6,560","991.55K","1.68%"
"2014- 07- 01","6,790","6,750","6,990","6,700","1.15M","1.80%"
"2014- 07- 02","7,800","6,830","7,800","6,620","4.77M","14.87%"
"2014- 07- 03","7,880","8,150","8,280","7,640","3.75M","1.03%"
"2014- 07- 04","7,900","7,810","8,170","7,750","1.55M","0.25%"
"2014- 07- 07","8,030","7,970","8,050","7,770","1.05M","1.65%"
"2014- 07- 08","7,780","7,930","8,100","7,780","1.10M","-3.11%"
"2014- 07- 09","8,100","7,660","8,400","7,470","2.89M","4.11%"
"2014- 07- 10","7,750","8,090","8,200","7,700","1.10M","-4.32%"
"2014- 07- 11","7,600","7,750","7,970","7,480","1.12M","-1.94%"
"2014- 07- 14","7,500","7,580","7,700","7,400","889.15K","-1.32%"
"2014- 07- 15","7,080","7,450","7,600","6,800","1.93M","-5.60%"
"2014- 07- 16","7,180","7,140","7,470","7,000","1.75M","1.41%"
"2014- 07- 17","7,380","7,050","7,420","6,990","1.23M","2.79%"
"2014- 07- 18","7,350","7,410","7,490","7,250","860.02K","-0.41%"
"2014- 07- 21","7,080","7,430","7,530","6,960","1.03M","-3.67%"
"2014- 07- 22","7,160","7,100","7,210","6,960","751.36K","1.13%"
