,회사명,거래소코드,회계년도,한계기업여부,이자보상배율(이자비용)
965,감성코퍼레이션(주),036620,2018.0,1,-13.18
966,세종텔레콤(주),036630,2011.0,1,-1.04
967,세종텔레콤(주),036630,2012.0,1,-0.69
968,세종텔레콤(주),036630,2013.0,0,-5.8
969,세종텔레콤(주),036630,2016.0,0,0.53
970,주성엔지니어링(주),036930,2012.0,1,-6.55
971,주성엔지니어링(주),036930,2013.0,1,0.08
972,주성엔지니어링(주),036930,2014.0,0,0.96
973,(주)한국팩키지,037230,2013.0,1,-29.21
974,(주)한국팩키지,037230,2014.0,0,-29.21
975,우리엔터프라이즈(주),037400,2017.0,1,-0.4
976,우리엔터프라이즈(주),037400,2018.0,0,-1.25
977,엘컴텍(주),037950,2011.0,1,-2.26
978,엘컴텍(주),037950,2012.0,1,-3.19
979,엘컴텍(주),037950,2013.0,0,-2.3
980,(주)루멘스,038060,2018.0,1,-6.92
981,에코플라스틱(주),038110,2018.0,0,-0.41
982,(주)유씨아이,038340,2011.0,1,-0.38
983,(주)유씨아이,038340,2012.0,1,-0.64
984,(주)유씨아이,038340,2013.0,1,-0.74
985,(주)유씨아이,038340,2014.0,1,-3.13
986,(주)유씨아이,038340,2015.0,1,-23.81
987,(주)유씨아이,038340,2016.0,1,0.35
988,(주)유씨아이,038340,2017.0,1,-0.22
989,(주)유씨아이,038340,2018.0,1,0.74
990,(주)삼표시멘트,038500,2011.0,1,-0.51
991,(주)삼표시멘트,038500,2012.0,1,0.54
992,(주)삼표시멘트,038500,2013.0,0,-0.07
993,(주)골드퍼시픽,038530,2014.0,1,-4.33
994,(주)골드퍼시픽,038530,2015.0,1,-9.59
995,(주)골드퍼시픽,038530,2016.0,1,-17.43
996,(주)골드퍼시픽,038530,2017.0,1,0.62
997,(주)골드퍼시픽,038530,2018.0,1,-0.68
998,위즈코프(주),038620,2011.0,1,-29.21
999,위즈코프(주),038620,2012.0,1,-29.21
1000,위즈코프(주),038620,2013.0,1,-3.96
1001,위즈코프(주),038620,2014.0,0,0.37
1002,에스넷시스템(주),038680,2016.0,0,-11.7
1003,에코바이오홀딩스(주),038870,2011.0,0,0.6
1004,에코바이오홀딩스(주),038870,2017.0,1,-4.12
1005,에코바이오홀딩스(주),038870,2018.0,0,0.88
1006,(주)아이에이,038880,2012.0,1,-3.4
1007,(주)아이에이,038880,2013.0,0,-0.29
1008,(주)아이에이,038880,2018.0,0,-0.53
1009,(주)파인디지털,038950,2016.0,1,-29.21
1010,(주)파인디지털,038950,2017.0,0,-29.21
1011,현대에이치티(주),039010,2011.0,0,-29.21
1012,(주)이건홀딩스,039020,2011.0,1,0.69
1013,(주)이건홀딩스,039020,2012.0,1,0.45
1014,(주)이건홀딩스,039020,2013.0,1,0.62
1015,(주)이건홀딩스,039020,2014.0,1,-0.7
1016,(주)이건홀딩스,039020,2015.0,0,-1.13
