,거래소코드,회계년도,시가총액
896,042110,2011,67178093960
897,056730,2011,67011531510
898,036190,2011,66900000000
899,072470,2011,66805851060
900,025550,2011,66796989270
901,096300,2011,66406414524
902,056700,2011,66396804705
903,002170,2011,66300000000
904,051360,2011,66299752440
905,035150,2011,66066000000
906,025750,2011,66061710550
907,079960,2011,66024000000
908,049000,2011,65949198000
909,088790,2011,65859775830
910,019300,2011,65686950000
911,045890,2011,65616649550
912,094850,2011,65590000000
913,011000,2011,65414976000
914,006090,2011,65400000000
915,064240,2011,65379282290
916,002100,2011,65183708750
917,028090,2011,65122651620
918,036500,2011,65014409400
919,067160,2011,64825353900
920,033310,2011,64818612450
921,030720,2011,64640103200
922,095340,2011,64596000000
923,102210,2011,64530070000
924,003220,2011,64354834560
925,101000,2011,64339907500
926,047770,2011,64300791750
927,024800,2011,64184890665
928,000500,2011,64069343800
929,049180,2011,63932871474
930,010660,2011,63800000000
931,014440,2011,63800000000
932,005710,2011,63576000000
933,080520,2011,63447396300
934,095910,2011,63407690500
935,013120,2011,63384053800
936,010280,2011,63326213210
937,068290,2011,63300000000
938,006805,2011,63270496250
939,006660,2011,63222722920
940,023760,2011,62951409696
941,024910,2011,62629000000
942,048770,2011,62608000000
943,900110,2011,62560000000
944,002820,2011,62200000000
945,069330,2011,62173152160
946,013450,2011,62161360800
947,093920,2011,62124000000
948,035210,2011,62116162500
949,033200,2011,62035032500
950,065950,2011,61734851390
951,039200,2011,61650193000
952,040160,2011,61607832000
953,019770,2011,61512000000
954,089890,2011,61502244480
955,023910,2011,61500000000
956,048870,2011,61123142460
957,012340,2011,61111111050
958,018470,2011,61108800000
959,000470,2011,61021034370
960,031510,2011,60970000000
961,006570,2011,60900000000
962,089230,2011,60893600000
963,086980,2011,60471600000
964,002070,2011,60437916000
965,053610,2011,60300000000
966,068240,2011,60275250000
967,026890,2011,60016572000
968,001080,2011,59967500000
969,002920,2011,59679250000
970,034300,2011,59600000000
971,131400,2011,59475000000
972,136540,2011,59443264000
973,050050,2011,59433973170
974,090350,2011,59400000000
975,039980,2011,59393652450
976,054040,2011,59383416550
977,091120,2011,59372985900
978,004060,2011,59310513280
979,024070,2011,59277254400
980,083420,2011,59200000000
981,051390,2011,59047913600
982,014530,2011,58929319800
983,041930,2011,58855000000
984,000890,2011,58853014400
985,136490,2011,58608000000
986,080530,2011,58579200000
987,033830,2011,58500000000
988,032560,2011,58500000000
989,069510,2011,58477600000
990,093230,2011,58456300000
991,024900,2011,58454139100
992,071055,2011,58406762470
993,009770,2011,58240000000
994,003680,2011,58066280600
995,058630,2011,58019075000
996,003010,2011,57857553600
997,053450,2011,57820050950
998,060370,2011,57816000000
999,130740,2011,57708000000
1000,089980,2011,57699061650
1001,035890,2011,57689265696
1002,093190,2011,57426000000
1003,096775,2011,57365174700
1004,090360,2011,57252000000
1005,115310,2011,57246000000
1006,053690,2011,57155000000
1007,072130,2011,56872406740
1008,016590,2011,56376627600
1009,082800,2011,55741547160
1010,092730,2011,55735440390
1011,040610,2011,55562129480
1012,001290,2011,55560256380
1013,126640,2011,55207302590
1014,024120,2011,55027500000
1015,064550,2011,54920719260
1016,900010,2011,54846328416
1017,066410,2011,54745308835
1018,037340,2011,54634295175
1019,066790,2011,54612800000
1020,121550,2011,54560000000
1021,017480,2011,54331999400
1022,030960,2011,54252100000
1023,049960,2011,54238000000
1024,123040,2011,54202000000
1025,014580,2011,54200791500
1026,001560,2011,54000000000
1027,054540,2011,53976135595
1028,067920,2011,53850000000
1029,036640,2011,53807292000
1030,011500,2011,53478683640
1031,010670,2011,53331462000
1032,099440,2011,53146886250
1033,003925,2011,52998516000
1034,001620,2011,52932385200
1035,022220,2011,52912345400
1036,900060,2011,52800000000
1037,010040,2011,52613156890
1038,082920,2011,52606956250
1039,101490,2011,52518627840
1040,004550,2011,51974781530
1041,065570,2011,51920000000
1042,007330,2011,51884832000
1043,040670,2011,51801603840
1044,112240,2011,51763452660
1045,094480,2011,51754572800
1046,010960,2011,51750000000
1047,008260,2011,51736867000
1048,005360,2011,51662400000
1049,073130,2011,51662020340
