회사명,거래소코드,회계년도,이자보상배율(이자비용)
(주)드림텍,192650,2010/12,74.16
(주)디모아,016670,2009/12,999999999
(주)디모아,016670,2010/12,10.87
(주)디바이스이엔지,187870,2009/12,-4.96
(주)디바이스이엔지,187870,2010/12,6.41
(주)디비아이엔씨,012030,2009/12,0.97
(주)디비아이엔씨,012030,2010/12,-0.16
(주)디스플레이테크,066670,2009/12,22.2
(주)디스플레이테크,066670,2010/12,19.53
(주)디아이,003160,2009/12,-2.29
(주)디아이,003160,2010/12,3.6
(주)디아이씨,092200,2009/12,1.31
(주)디아이씨,092200,2010/12,4
(주)디아크,078590,2009/12,-2.74
(주)디아크,078590,2010/12,0.82
(주)디알비동일,004840,2009/12,2.73
(주)디알비동일,004840,2010/12,3.93
(주)디에스앤엘,141020,2009/12,
(주)디에스앤엘,141020,2010/12,4.88
(주)디에스케이,109740,2009/12,24.54
(주)디에스케이,109740,2010/12,25.55
(주)디에이테크놀로지,196490,2009/12,2.81
(주)디에이테크놀로지,196490,2010/12,4.86
(주)디에이피,066900,2009/12,5.87
(주)디에이피,066900,2010/12,3.47
(주)디엔에이링크,127120,2009/12,6.48
(주)디엔에이링크,127120,2010/12,7.99
(주)디엔에프,092070,2009/12,-0.37
(주)디엔에프,092070,2010/12,0.9
(주)디엔오토모티브,007340,2009/12,8.56
(주)디엔오토모티브,007340,2010/12,5.2
(주)디엠에스,068790,2009/12,1.43
(주)디엠에스,068790,2010/12,1.37
(주)디오,039840,2009/12,1.37
(주)디오,039840,2010/12,0.2
(주)디이엔티,079810,2009/12,-16.64
(주)디이엔티,079810,2010/12,30.99
(주)디지아이,043360,2009/12,6.67
(주)디지아이,043360,2010/12,16.79
(주)디지털대성,068930,2009/12,999999999
(주)디지털대성,068930,2010/12,999999999
(주)디지틀조선일보,033130,2009/12,999999999
(주)디지틀조선일보,033130,2010/12,999999999
(주)디케이앤디,263020,2010/12,
(주)디티앤씨,187220,2009/12,0.8
(주)디티앤씨,187220,2010/12,3.25
(주)딜리,131180,2009/12,999999999
(주)딜리,131180,2010/12,999999999
(주)라이온켐텍,171120,2009/12,6.5
(주)라이온켐텍,171120,2010/12,14.98
(주)라이트론,069540,2009/12,10.92
(주)라이트론,069540,2010/12,26.42
(주)락앤락,115390,2009/12,7.95
(주)락앤락,115390,2010/12,124.13
(주)랩지노믹스,084650,2009/12,52.17
(주)랩지노믹스,084650,2010/12,3.21
(주)레고켐바이오사이언스,141080,2009/12,
(주)레고켐바이오사이언스,141080,2010/12,-46.23
(주)레드캡투어,038390,2009/12,2.8
(주)레드캡투어,038390,2010/12,4.87
(주)로보스타,090360,2009/12,2.32
(주)로보스타,090360,2010/12,9.49
(주)로지시스,067730,2009/12,999999999
(주)로지시스,067730,2010/12,999999999
(주)루멘스,038060,2009/12,2.56
(주)루멘스,038060,2010/12,7.67
(주)루트로닉,085370,2009/12,8.8
(주)루트로닉,085370,2010/12,4.64
(주)룽투코리아,060240,2009/12,-2.36
(주)룽투코리아,060240,2010/12,-17.29
(주)리노스,039980,2009/12,1.18
(주)리노스,039980,2010/12,14.2
(주)리더스기술투자,019570,2009/03,
(주)리더스기술투자,019570,2010/03,
(주)리더스코스메틱,016100,2009/12,999999999
(주)리더스코스메틱,016100,2010/12,542.84
(주)리드코프,012700,2009/12,3.12
(주)리드코프,012700,2010/12,2.98
(주)링네트,042500,2009/12,6.15
(주)링네트,042500,2010/12,5.63
(주)마니커,027740,2009/12,2.64
(주)마니커,027740,2010/12,1.96
(주)마니커에프앤지,195500,2009/12,1.14
(주)마니커에프앤지,195500,2010/12,3.03
(주)마이크로컨텍솔루션,098120,2009/12,97.93
(주)마이크로컨텍솔루션,098120,2010/12,107.43
(주)마이크로프랜드,147760,2009/12,1.66
(주)마이크로프랜드,147760,2010/12,7.82
(주)마크로밀엠브레인,169330,2010/12,
(주)마크로젠,038290,2009/06,999999999
(주)마크로젠,038290,2010/12,1.09
(주)매직마이크로,127160,2009/12,
(주)매직마이크로,127160,2010/12,1.03
(주)매커스,093520,2009/12,5.75
(주)매커스,093520,2010/12,19.46
(주)머큐리,100590,2009/12,-2.58
(주)머큐리,100590,2010/12,-3.42
(주)멀티캠퍼스,067280,2009/12,999999999
(주)멀티캠퍼스,067280,2010/12,999999999
(주)메디아나,041920,2009/12,5.25
(주)메디아나,041920,2010/12,3.59
(주)메디콕스,054180,2009/06,-10.15
(주)메디콕스,054180,2010/06,-192.56
(주)메디톡스,086900,2009/12,164.39
(주)메디톡스,086900,2010/12,87.94
(주)메디프론디비티,065650,2009/12,1.1
(주)메디프론디비티,065650,2010/12,-0.99
(주)메지온,140410,2009/12,
(주)메지온,140410,2010/12,999999999
(주)메타랩스,090370,2009/12,0.46
(주)메타랩스,090370,2010/12,0.82
(주)메타바이오메드,059210,2009/12,10.82
(주)메타바이오메드,059210,2010/12,3.74
(주)멜파스,096640,2009/12,141.02
(주)멜파스,096640,2010/12,1778.68
(주)모나리자,012690,2009/12,4.33
(주)모나리자,012690,2010/12,6.57
(주)모나미,005360,2009/12,1.14
(주)모나미,005360,2010/12,0.31
(주)모다이노칩,080420,2009/12,20.11
(주)모다이노칩,080420,2010/12,13.08
(주)모두투어네트워크,080160,2009/12,999999999
(주)모두투어네트워크,080160,2010/12,999999999
(주)모베이스,101330,2009/12,21.12
(주)모베이스,101330,2010/12,4.96
(주)모베이스전자,012860,2009/12,0.41
(주)모베이스전자,012860,2010/12,0.4
(주)모아텍,033200,2009/12,999999999
(주)모아텍,033200,2010/12,999999999
(주)모토닉,009680,2009/12,999999999
(주)모토닉,009680,2010/12,999999999
(주)모헨즈,006920,2009/12,0.26
(주)모헨즈,006920,2010/12,7.63
(주)무학,033920,2009/12,72.39
(주)무학,033920,2010/12,999999999
(주)미래아이앤지,007120,2009/12,-5.54
(주)미래아이앤지,007120,2010/12,1.58
(주)미래컴퍼니,049950,2009/12,11.17
(주)미래컴퍼니,049950,2010/12,8.72
(주)미코,059090,2009/12,-0.44
(주)미코,059090,2010/12,3.1
(주)바른손,018700,2009/03,-5.89
(주)바른손,018700,2010/03,-3.75
(주)바른손이앤에이,035620,2009/12,-1.4
(주)바른손이앤에이,035620,2010/12,1.43
(주)바이넥스,053030,2009/12,0.65
(주)바이넥스,053030,2010/12,-0.72
(주)바이오니아,064550,2009/12,7.07
(주)바이오니아,064550,2010/12,-0.13
(주)바이오솔루션,086820,2009/12,999999999
(주)바이오솔루션,086820,2010/12,999999999
